lib/libclang_rt/ubsan_standalone_cxx/Makefile.depend|ubsan_standalone_cxx|lib/libclang_rt/ubsan_standalone_cxx|ubsan_standalone_cxx|Library missing description
lib/libclang_rt/ubsan_standalone/Makefile.depend|ubsan_standalone|lib/libclang_rt/ubsan_standalone|ubsan_standalone|Library missing description
lib/libc++/Makefile.depend|libc++|lib/libc++|libc++|Library missing description
lib/libc_nonshared/Makefile.depend|libc_nonshared|lib/libc_nonshared|libc_nonshared|Library missing description
lib/libcom_err/Makefile.depend|libcom_err|lib/libcom_err|libcom_err|Library missing description
lib/libcompiler_rt/Makefile.depend|libcompiler_rt|lib/libcompiler_rt|libcompiler_rt|Library missing description
lib/libc/regex/re_format.7|re_format|lib/libc/regex|re_format|POSIX 1003.2 regular expressions
lib/libcrypt/Makefile.depend|libcrypt|lib/libcrypt|libcrypt|Library missing description
lib/libcuse/Makefile.depend|libcuse|lib/libcuse|libcuse|Library missing description
lib/libdevctl/Makefile.depend|libdevctl|lib/libdevctl|libdevctl|Library missing description
lib/libdevdctl/Makefile.depend|libdevdctl|lib/libdevdctl|libdevdctl|Library missing description
lib/libdevinfo/Makefile.depend|libdevinfo|lib/libdevinfo|libdevinfo|Library missing description
lib/libdevstat/Makefile.depend|libdevstat|lib/libdevstat|libdevstat|Library missing description
lib/libdpv/Makefile.depend|libdpv|lib/libdpv|libdpv|Library missing description
lib/libdwarf/Makefile.depend|libdwarf|lib/libdwarf|libdwarf|Library missing description
lib/libedit/readline/Makefile.depend|readline|lib/libedit/readline|readline|Library missing description
lib/libefivar/Makefile.depend|libefivar|lib/libefivar|libefivar|Library missing description
lib/libelf/Makefile.depend|libelf|lib/libelf|libelf|Library missing description
lib/libelftc/Makefile.depend|libelftc|lib/libelftc|libelftc|Library missing description
lib/libevent1/Makefile.depend|libevent1|lib/libevent1|libevent1|Library missing description
lib/libfetch/Makefile.depend|libfetch|lib/libfetch|libfetch|Library missing description
lib/libfigpar/Makefile.depend|libfigpar|lib/libfigpar|libfigpar|Library missing description
lib/libgeom/Makefile.depend|libgeom|lib/libgeom|libgeom|Library missing description
lib/libgpio/Makefile.depend|libgpio|lib/libgpio|libgpio|Library missing description
lib/libgssapi/Makefile.depend|libgssapi|lib/libgssapi|libgssapi|Library missing description
lib/libifconfig/Makefile.depend|libifconfig|lib/libifconfig|libifconfig|Library missing description
lib/libipsec/Makefile.depend|libipsec|lib/libipsec|libipsec|Library missing description
lib/libiscsiutil/Makefile.depend|libiscsiutil|lib/libiscsiutil|libiscsiutil|Library missing description
lib/libjail/Makefile.depend|libjail|lib/libjail|libjail|Library missing description
lib/libkiconv/Makefile.depend|libkiconv|lib/libkiconv|libkiconv|Library missing description
lib/libkvm/Makefile.depend|libkvm|lib/libkvm|libkvm|Library missing description
lib/liblua/Makefile.depend|liblua|lib/liblua|liblua|Library missing description
lib/libmd/Makefile.depend|libmd|lib/libmd|libmd|Library missing description
lib/libmemstat/Makefile.depend|libmemstat|lib/libmemstat|libmemstat|Library missing description
lib/libmilter/Makefile.depend|libmilter|lib/libmilter|libmilter|Library missing description
lib/libmixer/Makefile.depend|libmixer|lib/libmixer|libmixer|Library missing description
lib/libmp/Makefile.depend|libmp|lib/libmp|libmp|Library missing description
lib/libmt/Makefile.depend|libmt|lib/libmt|libmt|Library missing description
lib/libnetbsd/Makefile.depend|libnetbsd|lib/libnetbsd|libnetbsd|Library missing description
lib/libnetgraph/Makefile.depend|libnetgraph|lib/libnetgraph|libnetgraph|Library missing description
