sbin/ggate/shared/ggate.h|BSD-2-Clause
sbin/ggate/shared/ggate.c|BSD-2-Clause
sbin/ggate/ggatel/ggatel.c|BSD-2-Clause
sbin/ggate/ggated/ggated.c|BSD-2-Clause
sbin/ggate/ggatec/ggatec.c|BSD-2-Clause
sbin/kldstat/kldstat.c|BSD-2-Clause
sbin/veriexec/veriexec.h|BSD-2-Clause
sbin/veriexec/veriexec.c|BSD-2-Clause
sbin/kldload/kldload.c|BSD-2-Clause
sbin/ifconfig/af_nd6.c|BSD-2-Clause
sbin/ifconfig/ifconfig_netlink.c|BSD-2-Clause-FreeBSD
sbin/ifconfig/carp.c|BSD-2-Clause
sbin/ifconfig/iffib.c|BSD-2-Clause
sbin/ifconfig/ifmedia.c|BSD-4-Clause
sbin/ifconfig/af_inet6.c|BSD-3-Clause
sbin/ifconfig/ifgroup.c|BSD-2-Clause
sbin/ifconfig/ifieee80211.c|BSD-3-Clause
sbin/ifconfig/ifvlan.c|BSD-4-Clause
sbin/ifconfig/ifconfig.h|BSD-4-Clause
sbin/ifconfig/af_inet.c|BSD-3-Clause
sbin/ifconfig/ifgif.c|BSD-2-Clause
sbin/ifconfig/ifconfig_netlink.h|BSD-2-Clause-FreeBSD
sbin/ifconfig/ifbridge.c|BSD-4-Clause
sbin/ifconfig/ifclone.c|BSD-3-Clause
sbin/ifconfig/af_link.c|BSD-3-Clause
sbin/ifconfig/ifmac.c|BSD-3-Clause
sbin/ifconfig/ifpfsync.c|BSD-2-Clause
sbin/ifconfig/ifgre.c|BSD-2-Clause
sbin/ifconfig/ifconfig.c|BSD-3-Clause
sbin/dumpfs/dumpfs.c|BSD-3-Clause
sbin/dump/pathnames.h|BSD-3-Clause
sbin/dump/tape.c|BSD-3-Clause
sbin/dump/unctime.c|BSD-3-Clause
sbin/dump/main.c|BSD-3-Clause
sbin/dump/itime.c|BSD-3-Clause
sbin/dump/traverse.c|BSD-3-Clause
sbin/dump/optr.c|BSD-3-Clause
sbin/dump/dumprmt.c|BSD-3-Clause
sbin/dump/dump.h|BSD-3-Clause
sbin/mount/pathnames.h|BSD-3-Clause
sbin/mount/mount_fs.c|BSD-3-Clause
sbin/mount/extern.h|BSD-2-Clause
sbin/mount/mount.c|BSD-3-Clause
sbin/mount/vfslist.c|BSD-3-Clause
sbin/devd/devd.h|BSD-2-Clause
sbin/devd/devd.hh|BSD-2-Clause
sbin/devd/devd.cc|BSD-2-Clause
sbin/devd/devd.cc|BSD-3-Clause
sbin/ccdconfig/pathnames.h|BSD-2-Clause
sbin/ccdconfig/ccdconfig.c|BSD-2-Clause
sbin/ipfw/nat64lsn.c|BSD-2-Clause
sbin/ipfw/nat64clat.c|BSD-2-Clause
sbin/ipfw/nat64stl.c|BSD-2-Clause
sbin/newfs_msdos/newfs_msdos.c|BSD-2-Clause
sbin/mount_msdosfs/mount_msdosfs.c|BSD-4-Clause
sbin/mksnap_ffs/mksnap_ffs.c|BSD-3-Clause
sbin/ddb/ddb.h|BSD-2-Clause
sbin/ddb/ddb_capture.c|BSD-2-Clause
sbin/ddb/ddb_script.c|BSD-2-Clause
sbin/ddb/ddb.c|BSD-2-Clause
sbin/rcorder/hash.c|BSD-4-Clause
sbin/rcorder/hash.h|BSD-4-Clause
sbin/rcorder/ealloc.c|BSD-4-Clause
sbin/rcorder/rcorder.c|BSD-2-Clause
sbin/rcorder/sprite.h|BSD-4-Clause
sbin/restore/tape.c|BSD-3-Clause
sbin/restore/main.c|BSD-3-Clause
sbin/restore/extern.h|BSD-3-Clause
sbin/restore/symtab.c|BSD-3-Clause
sbin/restore/utilities.c|BSD-3-Clause
sbin/restore/dirs.c|BSD-3-Clause
sbin/restore/restore.h|BSD-3-Clause
sbin/restore/interactive.c|BSD-3-Clause
sbin/restore/restore.c|BSD-3-Clause
sbin/mount_unionfs/mount_unionfs.c|BSD-3-Clause
sbin/fdisk/fdisk_mbr_enc.c|BSD-2-Clause
sbin/fdisk/fdisk_mbr_enc.h|BSD-2-Clause
sbin/routed/pathnames.h|BSD-3-Clause
sbin/routed/rtquery/rtquery.c|BSD-3-Clause
sbin/routed/output.c|BSD-3-Clause
sbin/routed/main.c|BSD-3-Clause
sbin/routed/rdisc.c|BSD-3-Clause
sbin/routed/parms.c|BSD-3-Clause
sbin/routed/if.c|BSD-3-Clause
sbin/routed/defs.h|BSD-3-Clause
sbin/routed/table.c|BSD-3-Clause
sbin/routed/radix.c|BSD-3-Clause
sbin/routed/trace.c|BSD-3-Clause
sbin/routed/radix.h|BSD-3-Clause
sbin/routed/input.c|BSD-3-Clause
sbin/dumpon/dumpon.c|BSD-3-Clause
sbin/tunefs/tunefs.c|BSD-3-Clause
sbin/mount_nullfs/mount_nullfs.c|BSD-3-Clause
sbin/kldunload/kldunload.c|BSD-2-Clause
sbin/dhclient/tree.h|BSD-3-Clause
sbin/dhclient/hash.c|BSD-3-Clause
sbin/dhclient/dhcp.h|BSD-3-Clause
sbin/dhclient/dhclient.c|BSD-3-Clause
sbin/dhclient/dhctoken.h|BSD-3-Clause
sbin/dhclient/bpf.c|BSD-3-Clause
sbin/dhclient/clparse.c|BSD-3-Clause
sbin/dhclient/inet.c|BSD-3-Clause
sbin/dhclient/convert.c|BSD-3-Clause
sbin/dhclient/errwarn.c|BSD-3-Clause
sbin/dhclient/tree.c|BSD-3-Clause
sbin/dhclient/dhcpd.h|BSD-3-Clause
sbin/dhclient/packet.c|BSD-3-Clause
sbin/dhclient/tables.c|BSD-3-Clause
sbin/dhclient/conflex.c|BSD-3-Clause
sbin/dhclient/dispatch.c|BSD-3-Clause
sbin/dhclient/options.c|BSD-3-Clause
sbin/dhclient/parse.c|BSD-3-Clause
sbin/dhclient/alloc.c|BSD-3-Clause
sbin/mknod/mknod.c|BSD-3-Clause
sbin/camcontrol/modeedit.c|BSD-2-Clause
sbin/camcontrol/fwdownload.c|BSD-2-Clause
sbin/camcontrol/progress.h|BSD-2-Clause
sbin/camcontrol/camcontrol.h|BSD-2-Clause
sbin/camcontrol/progress.c|BSD-2-Clause
sbin/camcontrol/util.c|BSD-3-Clause
sbin/recoverdisk/recoverdisk.c|Beerware
sbin/bectl/bectl_jail.c|BSD-2-Clause
sbin/bectl/bectl.h|BSD-2-Clause
sbin/bectl/bectl.c|BSD-2-Clause
sbin/bectl/bectl_list.c|BSD-2-Clause
sbin/reboot/reboot.c|BSD-3-Clause
sbin/sysctl/sysctl.c|BSD-3-Clause
sbin/newfs/mkfs.c|BSD-3-Clause
sbin/newfs/newfs.h|BSD-3-Clause
sbin/newfs/newfs.c|BSD-3-Clause
sbin/mount_fusefs/mount_fusefs.c|BSD-2-Clause
